City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
384,boiling springs,35.0465,-81.9818,7.7900000000000205,62,0,4.63,US,1707059634
385,margate,51.3813,1.3862,13.82000000000005,75,100,4.92,GB,1707059912
386,wabag,-5.4781,143.7021,12.610000000000014,98,99,1.71,PG,1707059914
387,vilyuchinsk,52.9306,158.4028,-10.849999999999966,78,81,3.61,RU,1707059914
388,fada,9.5667,8.3,34.870000000000005,11,57,1.19,NG,1707059915
389,ostroh,50.3294,26.5143,4.640000000000043,70,99,7.88,UA,1707059916
390,bamyan,34.75,67.25,-18.899999999999977,96,6,2.66,AF,1707059917
391,fauske,67.2588,15.3918,0.5300000000000296,96,100,2.72,NO,1707059917
392,klyuchi,52.2667,79.1667,-1.259999999999991,83,100,7.06,RU,1707059919
393,kolwezi,-10.7148,25.4667,20.510000000000048,91,100,1.19,CD,1707059920
394,vershino-darasunskiy,52.35,115.5167,-24.149999999999977,98,98,0.83,RU,1707059921
395,minas de marcona,-15.2119,-75.1103,22.439999999999998,71,89,2.35,PE,1707059922
396,nizhny tagil,57.9194,59.965,-14.549999999999955,99,98,1.09,RU,1707059923
397,sarikei,2.1167,111.5167,23.79000000000002,98,100,0.1,MY,1707059924
398,sumbawa besar,-8.5,117.4333,24.340000000000032,97,100,0.71,ID,1707059924
399,taroa,8.7058,171.2275,26.80000000000001,80,100,8.43,MH,1707059926
400,cam pha mines,21.0167,107.3,18.78000000000003,96,36,2.47,VN,1707059927
401,mar del plata,-38.0023,-57.5575,20.53000000000003,62,75,5.14,AR,1707059928
402,paso de los libres,-29.7131,-57.0899,37.02000000000004,47,0,2.57,AR,1707059929
403,taitung city,22.7583,121.1444,22.99000000000001,84,11,2.83,TW,1707059930
404,okhotsk,59.3833,143.3,-23.49999999999997,76,13,6.1,RU,1707059931
405,hafar al-batin,28.4328,45.9708,18.32000000000005,29,0,0.0,SA,1707059932
406,umluj,25.0213,37.2685,20.83000000000004,46,53,6.35,SA,1707059932
407,malanje,-9.5402,16.341,23.07000000000005,77,94,2.24,AO,1707059933
408,happy valley-goose bay,53.3168,-60.3315,-23.829999999999984,77,20,1.03,CA,1707059934
409,iwon-up,40.3231,128.6553,-1.4099999999999682,89,100,2.18,KP,1707059935
410,puerto penasco,31.3167,-113.5333,15.270000000000039,58,5,3.1,MX,1707059936
411,kambove,-10.8764,26.5969,21.77000000000004,91,99,0.89,CD,1707059824
